SubmissionDate,starttime,endtime,deviceid,devicephonenum,username,device_info,duration,caseid,consent,name,age,email,marital_status,region,children,children_n,Mobile_ownership,SIMcard_ownership,company,product_type,Employees,Volunteers,Volunteers_number,Daya_time,Daya_comfort,Daya_happiness,Daya_bizeasy,Daya_stress,Family_resources,Business_expenditure,Family_expenditure,hours_worked,hours_family,hours_leisure,socialmedia_use,digitaltools_storage,instanceID,formdef_version,KEY
16-apr-2023 23.36.40,16-apr-2023 23.24.53,16-apr-2023 23.36.40,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",708,,1,Kay Kay,34,jakeas@gmail.com,2,6,1,4,1,1,Hearl,Vases,13,1,1,3 days,0,1,,-1,1,,,32,,,1,,uuid:0f9f5ce2-0b93-4951-96fb-8933bca8e9b5,2304160614,uuid:0f9f5ce2-0b93-4951-96fb-8933bca8e9b5
16-apr-2023 23.55.08,16-apr-2023 23.36.47,16-apr-2023 23.55.08,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",1102,,1,Lay Lay,34,hasjeka@gmail.com,0,5,1,6,1,1,Hras,Rugs,20,1,2,3 months,1,1,-1,2,1,934,291,21,2,12,1,0,uuid:fed9bb62-e417-40bb-8420-faa563cdf4b6,2304160614,uuid:fed9bb62-e417-40bb-8420-faa563cdf4b6
16-apr-2023 23.58.14,16-apr-2023 23.56.52,16-apr-2023 23.58.14,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",82,,1,Saw Sa,32,jaskdne@gmail.com,0,5,1,2,1,1,Yeas,Vases,4,0,,6 days,1,1,2,-1,1,422,314,23,12,13,1,-1,uuid:b9b61b55-9847-4532-bba4-318b648a87f7,2304160614,uuid:b9b61b55-9847-4532-bba4-318b648a87f7
17-apr-2023 0.02.21,16-apr-2023 23.59.49,17-apr-2023 0.02.21,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",152,,1,Wa Wa,63,ksdlrsd@gmail.com,1,2,0,,1,1,Joa,,5,,,9 day,2,,,-2,,500,,60,,2,-1,-1,uuid:e6982607-cba2-4ed6-a988-27511557b062,2304160614,uuid:e6982607-cba2-4ed6-a988-27511557b062
17-apr-2023 0.11.39,17-apr-2023 0.04.52,17-apr-2023 0.11.39,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",407,,1,Gea Sa,34,kawkoeas@gmail.com,1,4,1,4,1,1,Reas,Clothes,3,1,1,3 weeks,2,-1,1,2,0,300,400,30,19,2,1,-1,uuid:c9e7a966-5598-44e5-901a-faddd0c8c248,2304160614,uuid:c9e7a966-5598-44e5-901a-faddd0c8c248
17-apr-2023 0.19.21,17-apr-2023 0.11.45,17-apr-2023 0.19.21,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",456,,1,Geas Kas,45,jsaekas@gmail.com,1,7,1,3,1,0,Joeas,Necklaces,5,0,,2 days,1,1,0,1,-1,322,345,12,23,1,1,-1,uuid:686ae61c-97e9-4c0a-a1df-ba262697a0e2,2304160614,uuid:686ae61c-97e9-4c0a-a1df-ba262697a0e2
17-apr-2023 0.27.52,17-apr-2023 0.20.56,17-apr-2023 0.27.52,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",417,,1,Heas Kas,56,ksadeam@gmail.com,0,14,0,,1,1,Jwaas,Vases,5,1,2,1 month,1,1,0,2,0,422,424,21,2,12,1,-1,uuid:b1ffe978-d9dd-435a-b33a-5f9ac3f6d6ac,2304160614,uuid:b1ffe978-d9dd-435a-b33a-5f9ac3f6d6ac
17-apr-2023 0.35.01,17-apr-2023 0.27.56,17-apr-2023 0.35.01,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",425,,1,Iowas Kwes,32,kskeiasx@gmail.com,1,13,1,2,1,1,Juea,Carpets,13,1,3,1 week,0,1,2,0,-1,234,345,21,2,21,1,-1,uuid:231bcd4c-24de-449d-baec-9bdd1ce733b5,2304160614,uuid:231bcd4c-24de-449d-baec-9bdd1ce733b5
17-apr-2023 0.41.59,17-apr-2023 0.35.12,17-apr-2023 0.41.59,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",407,,1,Ioep Kase,23,ksames@gmail.com,1,11,1,6,1,0,Yeasx,Clothing,5,1,4,1 day,1,2,-1,1,0,423,453,32,12,23,0,1,uuid:2bab514d-a616-4cc0-b7f9-61b45bd1e397,2304160614,uuid:2bab514d-a616-4cc0-b7f9-61b45bd1e397
17-apr-2023 0.48.55,17-apr-2023 0.42.05,17-apr-2023 0.48.55,(web),,covid19.studentsurvey@gmail.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36|SurveyCTO web forms 2.80.6",410,,1,Gear Sasas,47,kmaeas@gmail.com,1,16,0,,0,1,Hjeas,Jewelery,10,1,2,5 weeks,0,1,0,2,0,3452,345,28,16,21,2,-1,uuid:6f91ea14-5377-49dd-902b-89185ac35c05,2304160614,uuid:6f91ea14-5377-49dd-902b-89185ac35c05
